organization_city,report_issue_date,exam_num,diagnoise_num
台州市,2022-07-23,554,358
台州市,2022-07-24,4,3
台州市,2022-07-25,802,534
台州市,2022-07-26,332,184
台州市,2022-07-27,421,348
台州市,2022-07-28,609,454
台州市,2022-07-29,448,327
台州市,2022-07-30,595,413
台州市,2022-07-31,227,116
台州市,2022-08-01,1325,298
台州市,2022-08-02,736,504
台州市,2022-08-03,844,454
台州市,2022-08-04,346,256
台州市,2022-08-05,517,371
台州市,2022-08-06,554,399
台州市,2022-08-07,62,50
台州市,2022-08-08,254,170
台州市,2022-08-09,765,556
台州市,2022-08-10,1145,755
台州市,2022-08-11,565,295
台州市,2022-08-12,479,354
台州市,2022-08-13,1224,830
台州市,2022-08-14,52,48
台州市,2022-08-15,327,214
台州市,2022-08-16,472,284
台州市,2022-08-17,419,248
台州市,2022-08-18,420,216
台州市,2022-08-19,244,163
台州市,2022-08-20,606,477
台州市,2022-08-21,356,305
台州市,2022-08-22,564,437
台州市,2022-08-23,649,491
台州市,2022-08-24,726,538
台州市,2022-08-25,156,91
台州市,2022-08-26,249,137
台州市,2022-08-27,441,377
台州市,2022-08-28,286,237
台州市,2022-08-29,630,409
台州市,2022-08-30,524,358
台州市,2022-08-31,405,252
台州市,2022-09-01,798,437
台州市,2022-09-02,1020,769
台州市,2022-09-03,555,415
台州市,2022-09-04,92,79
台州市,2022-09-05,301,179
台州市,2022-09-06,768,500
台州市,2022-09-07,301,243
台州市,2022-09-08,647,528
台州市,2022-09-09,572,447
台州市,2022-09-10,7,5
台州市,2022-09-11,177,163
台州市,2022-09-12,329,248
台州市,2022-09-13,421,313
台州市,2022-09-14,452,390
台州市,2022-09-15,390,272
台州市,2022-09-16,747,441
台州市,2022-09-17,237,189
台州市,2022-09-18,147,122
台州市,2022-09-19,1113,767
台州市,2022-09-20,521,403
台州市,2022-09-21,435,181
台州市,2022-09-22,655,511
台州市,2022-09-23,590,320
台州市,2022-09-24,674,457
台州市,2022-09-25,164,150
台州市,2022-09-26,829,543
台州市,2022-09-27,679,570
台州市,2022-09-28,695,601
台州市,2022-09-29,690,505
台州市,2022-09-30,1988,1474
台州市,2022-10-01,51,50
台州市,2022-10-02,165,137
台州市,2022-10-03,124,110
台州市,2022-10-04,144,129
台州市,2022-10-05,375,278
台州市,2022-10-06,596,394
台州市,2022-10-07,417,262
台州市,2022-10-08,334,194
台州市,2022-10-09,169,149
台州市,2022-10-10,731,509
台州市,2022-10-11,537,340
台州市,2022-10-12,550,373
台州市,2022-10-13,1052,649
台州市,2022-10-14,760,484
台州市,2022-10-15,288,181
台州市,2022-10-16,807,652
台州市,2022-10-17,341,214
台州市,2022-10-18,407,283
台州市,2022-10-19,334,197
台州市,2022-10-20,1084,686
台州市,2022-10-21,501,389
台州市,2022-10-22,467,360
台州市,2022-10-23,275,242
台州市,2022-10-24,543,383
台州市,2022-10-25,622,503
台州市,2022-10-26,566,395
台州市,2022-10-27,1767,1179
台州市,2022-10-28,737,540
台州市,2022-10-29,611,566
台州市,2022-10-30,127,124
台州市,2022-10-31,879,611
台州市,2022-11-01,532,474
台州市,2022-11-02,667,573
